,defillamaId,name,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,latestFetchIsOk,versionKey,dailyVolume,totalVolume7d,totalVolume30d,parentProtocol
0,2116,0x,False,0x - RFQ,0x,DEX Aggregator,https://icons.llamao.fi/icons/protocols/0x.png,-26.71,2779.58,402.96,316.18,26.78,10834018.0,14782720.0,38265878.0,81924915.33594608,9194482.105675697,64621041.05675697,1432439124.619873,110187624.97075942,,"{'ethereum': {'0x RFQ': 10834018}, 'polygon': {'0x RFQ': 0}, 'bsc': {'0x RFQ': 0}, 'optimism': {'0x RFQ': 0}, 'fantom': {'0x RFQ': 0}, 'celo': {'0x RFQ': 0}, 'avax': {'0x RFQ': 0}, 'arbitrum': {'0x RFQ': 0}, 'base': {'0x RFQ': 0}}","['Ethereum', 'Polygon', 'BSC', 'Optimism', 'Fantom', 'Celo', 'Avalanche', 'Arbitrum', 'Base']",protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/0x,{},True,0x RFQ,10834018.0,376236.0,2154034.7018919014,
1,2345,10KSwap,False,10KSwap,10kswap,Dexes,https://icons.llamao.fi/icons/protocols/10kswap.png,-8.65,-69.19,0.9,-14.06,37.38,80732.0,88376.0,1413164.0,7014053.0,1644277.0,5105653.538204566,289254681.0558413,22250360.081218567,22148410.0,{'starknet': {'10kswap': 80732}},['Starknet'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/10kswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,80732.0,262069.0,80010.0,
2,2283,3xcalibur,False,3xcalibur,3xcalibur,Dexes,https://icons.llamao.fi/icons/protocols/3xcalibur.png,108.33,-63.24,-60.32,162.97,-30.7,25.0,12.0,1257.0,3380.0,478.0,4877.17819795021,24871230.21029663,1913171.5546382028,67934053.0,{'arbitrum': {'3xcalibur': 25}},['Arbitrum'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/3xcalibur,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,25.0,68.0,63.0,
3,951,4Swap,True,4Swap,4swap,Dexes,https://icons.llamao.fi/icons/protocols/pando.png,,,,,,,,,,,,,,,,['Mixin'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/4swap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,parent#pando
4,2685,Arbitrum Exchange V2,False,Arbitrum Exchange V2,ArbitrumExchange,Dexes,https://icons.llamao.fi/icons/protocols/arbitrum-exchange-v2.jpg,-58.35,-79.63,-3.08,-13.83,40.41,409.0,982.0,23383.0,100497.0,27137.0,71576.21543538291,0.0,0.0,95638995.0,{'arbitrum': {'v2': 409}},['Arbitrum'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/ArbitrumExchange,"{'UserFees': 'User pays 0.25% fees on each swap.', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'No protocol revenue.', 'HoldersRevenue': 'ARX stakers receive all fees.', 'SupplySideRevenue': 'LPs have no revenue.'}",True,v2,409.0,2008.0,422.0,parent#arbitrum-exchange
5,2962,Arbitrum Exchange V3,False,Arbitrum Exchange V3,ArbitrumExchange,Dexes,https://icons.llamao.fi/icons/protocols/arbitrum-exchange-v3.jpg,-33.05,-57.66,-34.48,13.71,-83.58,4312.0,6441.0,86260.0,384132.0,75861.0,2340122.2269254,0.0,0.0,264870422.0,{'arbitrum': {'v3': 4312}},['Arbitrum'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/ArbitrumExchange,"{'UserFees': 'User pays a variable percentage on each swap depending on the pool. Minimum: 0.008%, maximum: 1%.', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'No protocol revenue.', 'HoldersRevenue': 'ARX stakers receive all fees.', 'SupplySideRevenue': 'LPs have no revenue.'}",True,v3,4312.0,10185.0,6581.0,parent#arbitrum-exchange
6,3234,DerpDEX,False,DerpDEX,DerpDEX,Dexes,https://icons.llamao.fi/icons/protocols/derpdex.png,-33.51,-99.67,-86.09,-90.53,36.73,5270.0,7926.0,243955.0,4330287.0,2576237.0,3166998.234857697,0.0,0.0,14085537.0,"{'era': {'DerpDEX': 4745}, 'base': {'DerpDEX': 525}, 'op_bnb': {'DerpDEX': 0}}","['zkSync Era', 'Base', 'opBNB']",protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/DerpDEX,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,5270.0,1601275.0,37885.0,
7,4040,ICDex,False,ICDex,ICDex,Dexes,https://icons.llamao.fi/icons/protocols/icdex.png,-18.09,-89.03,,-29.73,19.16,21490.0,26237.0,432462.0,1733959.0,615389.0,1455212.3599880002,0.0,0.0,918167080.0,{'icp': {'ICDex': 21490}},['ICP'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/ICDex,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,21490.0,195880.0,0.0,
8,2702,MantisSwap,False,MantisSwap,MantisSwap,Dexes,https://icons.llamao.fi/icons/protocols/mantisswap.jpg,26.22,-48.13,-8.43,-34.07,40.3,13104.0,10382.0,198608.0,817217.0,301227.0,582494.6380999994,0.0,0.0,19918039.0,"{'polygon': {'MantisSwap': 12794}, 'polygon_zkevm': {'MantisSwap': 310}}","['Polygon', 'Polygon zkEVM']",protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/MantisSwap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,13104.0,25262.0,14311.0,
9,4119,Omnidrome,False,Omnidrome,Omnidrome,Dexes,https://icons.llamao.fi/icons/protocols/omnidrome.png,124.23,2078.48,,182.42,0.0,3442.0,1535.0,7665.0,10623.0,2714.0,0.0,0.0,0.0,,{'zeta': {'Omnidrome': 3442}},['ZetaChain'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/Omnidrome,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,3442.0,158.0,,
